a_x,a_y,a_z,a_zz,delta_theta,theta_value,sql,T_H
4.792246337,-1.228553196,2.193125337,3.875710885,0.04656305121,0.6,0.1,10
-1.053701118,-1.808675114,1.087411289,0.8098937375,0.1161631521,0.6,0.1,10
-0.9086002238,1.017747559,4.353813696,-0.3235974337,0.1043065987,0.6,0.1,10
-3.032578192,-1.227940171,-1.058930174,-3.68891307,0.5780524206,0.6,0.1,10
-3.371284994,1.845620734,-1.605222458,4.548983919,0.04063536695,0.6,0.1,10
-2.564032546,-4.010754949,2.53504563,3.810360519,0.09489995483,0.6,0.1,10
-2.218866431,-2.979118984,-3.142338651,0.2201230137,0.287433622,0.6,0.1,10
-0.3158335875,-2.405601601,-4.54826883,-0.1850865967,0.1101015439,0.6,0.1,10
4.593323476,1.525192008,-0.04493443371,-3.89307926,0.0838593774,0.6,0.1,10
-2.475637095,-2.052260504,2.648035526,3.767107973,0.03981984544,0.6,0.1,10
4.016418536,4.845686083,4.823666831,4.529991328,0.03552397433,0.6,0.1,10
-4.281778595,-3.622064641,-1.955334735,0.5289825406,4.800246468,0.6,0.1,10
-4.030221113,3.457969578,1.167561791,0.423644023,0.3924389399,0.6,0.1,10
-3.346886766,-2.467445256,-3.39687975,3.519331578,0.07743639411,0.6,0.1,10
0.8422786006,2.351294275,-2.039671371,-1.287473629,0.1365442859,0.6,0.1,10
-0.9514503557,2.600149717,2.723529877,-2.931864725,0.1046318512,0.6,0.1,10
4.415388567,-3.793446626,3.961220824,-3.996043544,0.1017072534,0.6,0.1,10
-2.354601888,3.464785361,-3.205079277,-0.8643206869,0.7370463212,0.6,0.1,10
-0.5014070006,-2.54741027,2.102452013,3.513346494,0.4654758365,0.6,0.1,10
3.745751399,-1.606778543,0.3085039429,-2.515935961,0.2650539258,0.6,0.1,10
-2.552034984,-3.387459371,4.400190108,3.879888286,0.04082332005,0.6,0.1,10
2.773587133,0.1766152129,-0.09392084488,0.2974566618,0.1110333748,0.6,0.1,10
0.3656801358,-0.654369153,-3.682451671,-3.743361471,0.6281918956,0.6,0.1,10
4.522497158,-0.1796924041,4.532055249,-3.364231223,1.388220439,0.6,0.1,10
0.5441655204,-2.922827466,-2.468153939,-4.699454212,1.030923401,0.6,0.1,10
-3.810466893,4.168484076,-1.784670085,1.081292119,1.042166864,0.6,0.1,10
-0.3498586801,-0.9954875475,0.3188609135,-3.127610554,0.168209548,0.6,0.1,10
4.886038985,3.183078687,2.416146327,-0.3124070299,0.1784693425,0.6,0.1,10
-3.471228779,4.206658583,-1.586129326,-4.498933103,0.1882778222,0.6,0.1,10
-1.575963232,2.944570305,1.22708745,2.508385847,0.08304239258,0.6,0.1,10
2.936353839,-2.880453889,4.237833161,-0.6201039708,0.1713813297,0.6,0.1,10
1.390136493,-4.976912274,4.933684984,-2.19103614,0.2285793577,0.6,0.1,10
-4.379368935,-0.4173795846,-3.709699428,-3.476732898,0.1665306744,0.6,0.1,10
1.32282813,-1.070726084,4.218524502,-1.808435054,0.1113352717,0.6,0.1,10
2.261801284,-0.3890056985,1.599513011,0.9969535672,0.564666794,0.6,0.1,10
-0.2721602724,4.500610946,-1.572863572,-3.227644988,0.137738185,0.6,0.1,10
1.780940609,3.460075613,-4.597462601,-0.5036731158,0.1498958545,0.6,0.1,10
3.924876897,2.496186189,4.918077165,0.314138116,0.146026833,0.6,0.1,10
1.599957188,-1.975197189,4.475355997,-1.336645114,0.1223550965,0.6,0.1,10
2.385107127,-0.9685979588,0.6181893006,2.19782535,0.2586277533,0.6,0.1,10
0.08934151751,4.070863269,-0.8069901207,1.470717981,0.2955030597,0.6,0.1,10
-1.576375667,-0.9184333177,-0.5994989177,-3.741929817,0.5561583007,0.6,0.1,10
-4.082763209,1.674899231,1.555177383,1.629097142,0.2888369162,0.6,0.1,10
